variable,group,value
"Mc Nally, John",Wales Office,4
"McCabe, Steve",BEIS,8
"McCabe, Steve",DCLG,1
"McCabe, Steve",DfE,5
"McCabe, Steve",DHSC,2
"McCabe, Steve",DWP,3
"McCabe, Steve",Home Office,2
"McCabe, Steve",MHCLG,4
"McCabe, Steve",Prime Minister,12
"McCarthy, Kerry",Attorney General,6
"McCarthy, Kerry",BEIS,5
"McCarthy, Kerry",Cabinet Office,7
"McCarthy, Kerry",Church Commissioners,4
"McCarthy, Kerry",DCLG,3
"McCarthy, Kerry",DDCMS,6
"McCarthy, Kerry",DEFRA,19
"McCarthy, Kerry",Department for Transport,9
"McCarthy, Kerry",DeXEU,9
"McCarthy, Kerry",DfE,5
"McCarthy, Kerry",DfID,8
"McCarthy, Kerry",DHSC,7
"McCarthy, Kerry",DIT,15
"McCarthy, Kerry",DWP,1
"McCarthy, Kerry",FCO,3
"McCarthy, Kerry",HM Household,1
"McCarthy, Kerry",Home Office,9
"McCarthy, Kerry",MHCLG,9
"McCarthy, Kerry",Minister for Women and Equalities,2
"McCarthy, Kerry",Ministry of Defence,8
"McCarthy, Kerry",Ministry of Justice,8
"McCarthy, Kerry",Northern Ireland Office,8
"McCarthy, Kerry",Prime Minister,9
"McCarthy, Kerry",Treasury,9
"McCarthy, Kerry",Wales Office,4
"McDonagh, Siobhain",BEIS,2
"McDonagh, Siobhain",DCLG,1
"McDonagh, Siobhain",Department for Transport,2
"McDonagh, Siobhain",DfE,1
"McDonagh, Siobhain",FCO,1
"McDonagh, Siobhain",Home Office,6
"McDonagh, Siobhain",MHCLG,6
"McDonagh, Siobhain",Minister for Women and Equalities,2
"McDonagh, Siobhain",Prime Minister,11
"McDonald, Andy",Department for Transport,32
"McDonald, Stewart Malcolm",BEIS,4
"McDonald, Stewart Malcolm",Department for Transport,1
"McDonald, Stewart Malcolm",DfID,2
"McDonald, Stewart Malcolm",DWP,2
"McDonald, Stewart Malcolm",FCO,4
"McDonald, Stewart Malcolm",Home Office,1
"McDonald, Stewart Malcolm",Minister for Women and Equalities,1
"McDonald, Stewart Malcolm",Ministry of Defence,24
"McDonald, Stewart Malcolm",Prime Minister,7
"McDonald, Stewart Malcolm",Scotland Office,7
"McDonald, Stewart Malcolm",Treasury,1
"McDonald, Stuart C",Attorney General,4
"McDonald, Stuart C",BEIS,8
"McDonald, Stuart C",Cabinet Office,2
"McDonald, Stuart C",DDCMS,2
"McDonald, Stuart C",DEFRA,2
"McDonald, Stuart C",Department for Transport,6
"McDonald, Stuart C",Department of Health,2
"McDonald, Stuart C",DeXEU,4
"McDonald, Stuart C",DfE,4
"McDonald, Stuart C",DfID,2
"McDonald, Stuart C",DHSC,3
"McDonald, Stuart C",DIT,4
"McDonald, Stuart C",DWP,5
"McDonald, Stuart C",FCO,1
"McDonald, Stuart C",Home Office,12
"McDonald, Stuart C",MHCLG,4
"McDonald, Stuart C",Minister for Women and Equalities,4
"McDonald, Stuart C",Ministry of Justice,15
"McDonald, Stuart C",Northern Ireland Office,8
"McDonald, Stuart C",Prime Minister,2
"McDonald, Stuart C",Scotland Office,8
"McDonald, Stuart C",Treasury,2
"McDonald, Stuart C",Wales Office,4
"McDonnell, John",Treasury,34
"McFadden, Pat",DeXEU,9
"McFadden, Pat",FCO,1
"McFadden, Pat",Prime Minister,5
"McGinn, Conor",BEIS,1
"McGinn, Conor",Cabinet Office,2
"McGinn, Conor",DDCMS,5
"McGinn, Conor",DEFRA,1
"McGinn, Conor",Department for Transport,3
"McGinn, Conor",DeXEU,3
"McGinn, Conor",DHSC,2
"McGinn, Conor",FCO,1
"McGinn, Conor",Home Office,2
"McGinn, Conor",Ministry of Defence,1
"McGinn, Conor",Northern Ireland Office,5
"McGovern, Alison",BEIS,2
"McGovern, Alison",DCLG,1
"McGovern, Alison",DCMS,1
"McGovern, Alison",DfE,1
"McGovern, Alison",DfID,3
"McGovern, Alison",DHSC,3
"McGovern, Alison",DWP,3
"McGovern, Alison",Electoral Commission,2
"McGovern, Alison",FCO,6
"McGovern, Alison",MHCLG,3
"McGovern, Alison",Ministry of Defence,3
"McGovern, Alison",Ministry of Justice,1
"McGovern, Alison",Prime Minister,7
"McGovern, Alison",Treasury,11
"McInnes, Liz",Attorney General,2
"McInnes, Liz",BEIS,2
"McInnes, Liz",Cabinet Office,6
"McInnes, Liz",DDCMS,8
"McInnes, Liz",DEFRA,4
"McInnes, Liz",Department for Transport,10
"McInnes, Liz",Department of Health,1
"McInnes, Liz",DeXEU,6
"McInnes, Liz",DfE,3
"McInnes, Liz",DfID,2
"McInnes, Liz",DHSC,6
"McInnes, Liz",DIT,4
"McInnes, Liz",DWP,4
"McInnes, Liz",FCO,17
"McInnes, Liz",MHCLG,5
"McInnes, Liz",Minister for Women and Equalities,6
"McInnes, Liz",Ministry of Defence,2
"McInnes, Liz",Ministry of Justice,4
"McInnes, Liz",Northern Ireland Office,2
"McInnes, Liz",Prime Minister,7
"McInnes, Liz",Scotland Office,4
"McInnes, Liz",Treasury,2
"McInnes, Liz",Wales Office,6
"McKinnell, Catherine",BEIS,2
"McKinnell, Catherine",Department of Health,2
"McKinnell, Catherine",DfE,1
"McKinnell, Catherine",DfID,2
"McKinnell, Catherine",DHSC,2
"McKinnell, Catherine",Ministry of Justice,2
"McKinnell, Catherine",Prime Minister,2
"McKinnell, Catherine",Treasury,13
"McLoughlin, Patrick",BEIS,6
"McLoughlin, Patrick",Cabinet Office,2
"McLoughlin, Patrick",DDCMS,5
"McLoughlin, Patrick",DEFRA,9
"McLoughlin, Patrick",Department for Transport,11
"McLoughlin, Patrick",DeXEU,1
"McLoughlin, Patrick",DfE,5
"McLoughlin, Patrick",Electoral Commission,2
"McLoughlin, Patrick",FCO,3
"McLoughlin, Patrick",Home Office,2
"McLoughlin, Patrick",House of Commons Commission,1
"McLoughlin, Patrick",MHCLG,3
"McLoughlin, Patrick",Ministry of Justice,1
"McLoughlin, Patrick",Prime Minister,4
"McLoughlin, Patrick",Treasury,6
"McMahon, Jim",BEIS,2
"McMahon, Jim",DCLG,2
"McMahon, Jim",DEFRA,1
"McMahon, Jim",DfE,1
"McMahon, Jim",DHSC,2
"McMahon, Jim",DIT,2
"McMahon, Jim",DWP,1
"McMahon, Jim",MHCLG,9
"McMahon, Jim",Ministry of Defence,4
"McMahon, Jim",Ministry of Justice,3
"McMahon, Jim",Prime Minister,8
"McMahon, Jim",Treasury,2
"McMorrin, Anna",BEIS,7
"McMorrin, Anna",Cabinet Office,4
"McMorrin, Anna",DDCMS,1
"McMorrin, Anna",DEFRA,1
"McMorrin, Anna",DfE,2
"McMorrin, Anna",FCO,3
"McMorrin, Anna",MHCLG,2
"McMorrin, Anna",Minister for Women and Equalities,6
"McMorrin, Anna",Ministry of Defence,2
"McMorrin, Anna",Ministry of Justice,2
"McMorrin, Anna",Prime Minister,10
"McMorrin, Anna",Treasury,1
"McMorrin, Anna",Wales Office,12
"McPartland, Stephen",BEIS,2
"McPartland, Stephen",Department of Health,2
"McPartland, Stephen",DfE,5
"McPartland, Stephen",DHSC,2
"McPartland, Stephen",DWP,12
"McPartland, Stephen",FCO,2
"McPartland, Stephen",Ministry of Defence,6
"McPartland, Stephen",Ministry of Justice,8
"McPartland, Stephen",Treasury,2
"McVey, Esther",BEIS,1
"McVey, Esther",DEFRA,2
"McVey, Esther",Department for Transport,9
"McVey, Esther",DfE,1
"McVey, Esther",DWP,1
"McVey, Esther",Home Office,2
"McVey, Esther",Ministry of Justice,1
"McVey, Esther",Prime Minister,3
"McVey, Esther",Treasury,3
"Mearns, Ian",Department for Transport,10
"Mearns, Ian",DeXEU,2
"Mearns, Ian",DfE,1
"Mearns, Ian",DHSC,2
"Mearns, Ian",DWP,2
"Mearns, Ian",Prime Minister,6
"Mearns, Ian",Wales Office,2
"Menzies, Mark",BEIS,2
"Menzies, Mark",Church Commissioners,2
"Menzies, Mark",Department for Transport,3
"Menzies, Mark",DeXEU,4
"Menzies, Mark",DfID,3
"Menzies, Mark",DIT,5
"Menzies, Mark",DWP,4
"Menzies, Mark",FCO,5
"Menzies, Mark",Home Office,2
"Menzies, Mark",Minister for Women and Equalities,2
"Menzies, Mark",Ministry of Defence,2
"Menzies, Mark",Ministry of Justice,2
"Menzies, Mark",Northern Ireland Office,4
"Menzies, Mark",Prime Minister,4
"Menzies, Mark",Scotland Office,2
"Menzies, Mark",Treasury,2
"Mercer, Johnny",Cabinet Office,4
"Mercer, Johnny",DCLG,2
"Mercer, Johnny",Department for Transport,1
"Mercer, Johnny",Department of Health,1
"Mercer, Johnny",DHSC,4
"Mercer, Johnny",Ministry of Defence,5
"Mercer, Johnny",Ministry of Justice,1
"Mercer, Johnny",Prime Minister,4
"Mercer, Johnny",Treasury,3
"Merriman, Huw",BEIS,1
"Merriman, Huw",Cabinet Office,4
"Merriman, Huw",DDCMS,5
"Merriman, Huw",DEFRA,2
"Merriman, Huw",Department for Transport,8
"Merriman, Huw",Department of Health,1
"Merriman, Huw",DeXEU,1
"Merriman, Huw",DfE,6
"Merriman, Huw",DfID,4
"Merriman, Huw",DHSC,11
"Merriman, Huw",DWP,11
"Merriman, Huw",FCO,4
"Merriman, Huw",Home Office,8
"Merriman, Huw",MHCLG,6
"Merriman, Huw",Ministry of Defence,2
"Merriman, Huw",Ministry of Justice,3
"Merriman, Huw",Northern Ireland Office,2
"Merriman, Huw",Prime Minister,13
"Merriman, Huw",Treasury,6
"Metcalfe, Stephen",BEIS,5
"Metcalfe, Stephen",Cabinet Office,4
"Metcalfe, Stephen",DDCMS,4
"Metcalfe, Stephen",Department for Transport,6
"Metcalfe, Stephen",DeXEU,6
"Metcalfe, Stephen",DfE,1
"Metcalfe, Stephen",DfID,2
"Metcalfe, Stephen",DIT,2
"Metcalfe, Stephen",DWP,6
"Metcalfe, Stephen",FCO,4
"Metcalfe, Stephen",Home Office,2
"Metcalfe, Stephen",Ministry of Defence,5
"Metcalfe, Stephen",Ministry of Justice,9
"Metcalfe, Stephen",Prime Minister,5
"Metcalfe, Stephen",Treasury,13
"Miliband, Edward",Prime Minister,2
"Miller, Maria",BEIS,1
"Miller, Maria",Cabinet Office,2
"Miller, Maria",DCLG,1
"Miller, Maria",DDCMS,3
"Miller, Maria",Department of Health,1
"Miller, Maria",DfID,1
"Miller, Maria",DHSC,1
"Miller, Maria",FCO,3
"Miller, Maria",Home Office,3
"Miller, Maria",Minister for Women and Equalities,26
"Miller, Maria",Ministry of Justice,1
"Miller, Maria",Prime Minister,5
"Miller, Maria",Treasury,2
"Milling, Amanda",BEIS,2
"Milling, Amanda",DCLG,1
"Milling, Amanda",DCMS,1
"Milling, Amanda",DDCMS,1
"Milling, Amanda",Department for Transport,1
"Milling, Amanda",DfID,2
"Milling, Amanda",Home Office,3
"Milling, Amanda",Ministry of Defence,1
"Milling, Amanda",Ministry of Justice,2
"Milling, Amanda",Northern Ireland Office,3
"Milling, Amanda",Prime Minister,1
"Milling, Amanda",Treasury,3
"Mills, Nigel",Attorney General,2
"Mills, Nigel",BEIS,4
"Mills, Nigel",Cabinet Office,4
"Mills, Nigel",Department for Transport,6
"Mills, Nigel",DHSC,8
"Mills, Nigel",DIT,2
"Mills, Nigel",DWP,5
"Mills, Nigel",FCO,2
"Mills, Nigel",Home Office,4
"Mills, Nigel",MHCLG,5
"Mills, Nigel",Ministry of Defence,2
"Mills, Nigel",Ministry of Justice,2
"Mills, Nigel",Northern Ireland Office,2
"Mills, Nigel",Prime Minister,8
"Mills, Nigel",Public Accounts Commission,2
"Mills, Nigel",Treasury,4
"Milton, Anne",DfE,2
"Milton, Anne",Ministry of Justice,1
"Milton, Anne",Treasury,2
"Mitchell, Andrew",FCO,5
"Mitchell, Andrew",Ministry of Defence,1
"Mitchell, Andrew",Prime Minister,3
"Monaghan, Carol",BEIS,10
"Monaghan, Carol",Cabinet Office,4
"Monaghan, Carol",DEFRA,2
"Monaghan, Carol",Department for Transport,4
"Monaghan, Carol",DeXEU,4
"Monaghan, Carol",DfE,28
"Monaghan, Carol",DfID,10
"Monaghan, Carol",DHSC,5
"Monaghan, Carol",DWP,7
"Monaghan, Carol",FCO,7
"Monaghan, Carol",Home Office,1
"Monaghan, Carol",House of Commons Commission,2
"Monaghan, Carol",MHCLG,2
"Monaghan, Carol",Minister for Women and Equalities,2
"Monaghan, Carol",Ministry of Defence,11
"Monaghan, Carol",Ministry of Justice,8
"Monaghan, Carol",Northern Ireland Office,4
"Monaghan, Carol",Prime Minister,10
"Monaghan, Carol",Treasury,2
"Monaghan, Carol",Wales Office,2
"Moon, Madeleine",BEIS,2
"Moon, Madeleine",Department of Health,2
"Moon, Madeleine",DeXEU,1
"Moon, Madeleine",DHSC,1
"Moon, Madeleine",DIT,2
"Moon, Madeleine",DWP,3
"Moon, Madeleine",FCO,2
"Moon, Madeleine",Home Office,2
"Moon, Madeleine",Minister for Women and Equalities,3
"Moon, Madeleine",Ministry of Defence,10
"Moon, Madeleine",Wales Office,4
"Moore, Damien",Attorney General,4
"Moore, Damien",BEIS,6
"Moore, Damien",Cabinet Office,6
"Moore, Damien",DEFRA,4
"Moore, Damien",Department for Transport,8
"Moore, Damien",DeXEU,2
"Moore, Damien",DfE,2
"Moore, Damien",DfID,2
"Moore, Damien",DHSC,2
"Moore, Damien",DIT,1
"Moore, Damien",DWP,6
"Moore, Damien",FCO,5
"Moore, Damien",Home Office,6
"Moore, Damien",MHCLG,8
"Moore, Damien",Minister for Women and Equalities,2
"Moore, Damien",Ministry of Defence,4
"Moore, Damien",Ministry of Justice,4
"Moore, Damien",Northern Ireland Office,6
"Moore, Damien",Prime Minister,4
"Moore, Damien",Treasury,6
"Moran, Layla",BEIS,8
"Moran, Layla",Cabinet Office,2
"Moran, Layla",DCLG,1
"Moran, Layla",Department for Transport,6
"Moran, Layla",Department of Health,1
"Moran, Layla",DeXEU,2
"Moran, Layla",DfE,11
"Moran, Layla",DfID,3
"Moran, Layla",DHSC,3
"Moran, Layla",DWP,8
"Moran, Layla",FCO,2
"Moran, Layla",Home Office,6
"Moran, Layla",Minister for Women and Equalities,1
"Moran, Layla",Ministry of Defence,1
"Moran, Layla",Ministry of Justice,3
"Moran, Layla",Northern Ireland Office,4
"Moran, Layla",Prime Minister,11
"Moran, Layla",Treasury,2
"Morden, Jessica",Attorney General,2
"Morden, Jessica",BEIS,10
"Morden, Jessica",DCLG,2
"Morden, Jessica",DDCMS,5
"Morden, Jessica",DEFRA,6
"Morden, Jessica",Department for Transport,11
"Morden, Jessica",DfE,1
"Morden, Jessica",DfID,4
"Morden, Jessica",DHSC,1
"Morden, Jessica",DIT,5
"Morden, Jessica",DWP,7
"Morden, Jessica",FCO,6
"Morden, Jessica",Home Office,6
"Morden, Jessica",MHCLG,1
"Morden, Jessica",Minister for Women and Equalities,8
"Morden, Jessica",Ministry of Defence,2
"Morden, Jessica",Ministry of Justice,2
"Morden, Jessica",Treasury,5
"Morden, Jessica",Wales Office,13
"Morgan of Cotes, Baroness",BEIS,3
"Morgan of Cotes, Baroness",Cabinet Office,2
"Morgan of Cotes, Baroness",DCLG,1
"Morgan of Cotes, Baroness",DDCMS,1
"Morgan of Cotes, Baroness",DEFRA,1
"Morgan of Cotes, Baroness",DHSC,2
"Morgan of Cotes, Baroness",DWP,2
"Morgan of Cotes, Baroness",Home Office,1
"Morgan of Cotes, Baroness",MHCLG,4
"Morgan of Cotes, Baroness",Prime Minister,9
"Morgan of Cotes, Baroness",Treasury,17
"Morgan, Stephen",BEIS,2
"Morgan, Stephen",DDCMS,1
"Morgan, Stephen",DEFRA,3
"Morgan, Stephen",DfE,2
"Morgan, Stephen",DHSC,6
"Morgan, Stephen",DWP,6
"Morgan, Stephen",FCO,2
"Morgan, Stephen",Home Office,4
"Morgan, Stephen",Minister for Women and Equalities,2
"Morgan, Stephen",Ministry of Defence,11
"Morgan, Stephen",Ministry of Justice,4
"Morgan, Stephen",Prime Minister,8
"Morgan, Stephen",Treasury,4
"Morgan, Stephen",Wales Office,2
"Morris, Anne Marie",DfE,2
"Morris, Anne Marie",DHSC,4
"Morris, Anne Marie",Home Office,1
"Morris, Anne Marie",Prime Minister,1
"Morris, David",DDCMS,2
"Morris, David",DeXEU,2
"Morris, David",DfE,5
"Morris, David",DHSC,2
"Morris, David",DWP,3
"Morris, David",FCO,1
"Morris, David",MHCLG,1
"Morris, David",Ministry of Defence,2
"Morris, David",Ministry of Justice,6
"Morris, David",Prime Minister,9
"Morris, Grahame M",Attorney General,2
"Morris, Grahame M",BEIS,6
"Morris, Grahame M",Cabinet Office,2
"Morris, Grahame M",Church Commissioners,2
"Morris, Grahame M",DCLG,1
"Morris, Grahame M",DEFRA,1
"Morris, Grahame M",Department for Transport,4
"Morris, Grahame M",Department of Health,1
"Morris, Grahame M",DeXEU,4
"Morris, Grahame M",DfE,2
"Morris, Grahame M",DfID,4
"Morris, Grahame M",DHSC,7
"Morris, Grahame M",DWP,7
"Morris, Grahame M",FCO,2
"Morris, Grahame M",Home Office,2
"Morris, Grahame M",MHCLG,4
"Morris, Grahame M",Minister for Women and Equalities,2
"Morris, Grahame M",Ministry of Defence,4
"Morris, Grahame M",Ministry of Justice,12
"Morris, Grahame M",Prime Minister,8
"Morris, Grahame M",Treasury,2
"Morris, James",Cabinet Office,2
"Morris, James",DCLG,2
"Morris, James",Department of Health,1
"Morris, James",DeXEU,2
"Morris, James",DfE,1
"Morris, James",DHSC,2
"Morris, James",DIT,6
"Morris, James",DWP,2
"Morris, James",FCO,4
"Morris, James",Prime Minister,6
"Morris, James",Treasury,4
"Morton, Wendy",BEIS,4
"Morton, Wendy",Church Commissioners,2
"Morton, Wendy",DCLG,2
"Morton, Wendy",Department for Transport,1
"Morton, Wendy",Department of Health,1
"Morton, Wendy",DeXEU,2
"Morton, Wendy",DfE,3
"Morton, Wendy",DWP,1
"Morton, Wendy",FCO,2
"Morton, Wendy",Home Office,3
"Morton, Wendy",MHCLG,1
"Morton, Wendy",Minister for Women and Equalities,1
"Morton, Wendy",Ministry of Defence,1
"Morton, Wendy",Ministry of Justice,4
"Morton, Wendy",Prime Minister,2
"Morton, Wendy",Treasury,2
"Murray, Ian",BEIS,2
"Murray, Ian",DCMS,2
"Murray, Ian",DDCMS,2
"Murray, Ian",DeXEU,7
"Murray, Ian",DHSC,6
"Murray, Ian",DIT,3
"Murray, Ian",FCO,3
"Murray, Ian",Prime Minister,2
"Murray, Ian",Scotland Office,15
"Murray, Ian",Treasury,1
"Murray, Sheryll",BEIS,4
"Murray, Sheryll",Cabinet Office,6
"Murray, Sheryll",Church Commissioners,2
"Murray, Sheryll",DDCMS,6
"Murray, Sheryll",DEFRA,5
"Murray, Sheryll",DWP,2
"Murray, Sheryll",FCO,2
"Murray, Sheryll",Home Office,8
"Murray, Sheryll",MHCLG,4
"Murray, Sheryll",Minister for Women and Equalities,2
"Murray, Sheryll",Ministry of Defence,2
"Murray, Sheryll",Northern Ireland Office,4
"Murray, Sheryll",Prime Minister,10
"Murray, Sheryll",Treasury,4
"Murray, Sheryll",Wales Office,2
"Murrison, Andrew",Department of Health,1
"Murrison, Andrew",Ministry of Defence,2
"Murrison, Andrew",Northern Ireland Office,14
"Murrison, Andrew",Prime Minister,11
"Nandy, Lisa",BEIS,1
"Nandy, Lisa",DCMS,1
"Nandy, Lisa",DHSC,5
"Nandy, Lisa",Home Office,4
"Nandy, Lisa",Ministry of Justice,1
"Nandy, Lisa",Prime Minister,5
"Neill, Robert",Attorney General,13
"Neill, Robert",BEIS,3
"Neill, Robert",DCLG,1
"Neill, Robert",DDCMS,5
"Neill, Robert",Department for Transport,6
"Neill, Robert",Department of Health,4
"Neill, Robert",DeXEU,7
"Neill, Robert",DfE,2
"Neill, Robert",DHSC,2
"Neill, Robert",FCO,5
"Neill, Robert",Home Office,6
"Neill, Robert",MHCLG,4
"Neill, Robert",Ministry of Justice,30
"Neill, Robert",Prime Minister,10
"Neill, Robert",Treasury,10
"Newlands, Gavin",Attorney General,8
"Newlands, Gavin",BEIS,7
"Newlands, Gavin",Cabinet Office,2
"Newlands, Gavin",DCMS,2
"Newlands, Gavin",DDCMS,14
"Newlands, Gavin",DEFRA,2
"Newlands, Gavin",Department for Transport,4
"Newlands, Gavin",DeXEU,9
"Newlands, Gavin",DfE,2
"Newlands, Gavin",DHSC,6
"Newlands, Gavin",DIT,6
"Newlands, Gavin",DWP,6
"Newlands, Gavin",Electoral Commission,2
"Newlands, Gavin",FCO,6
"Newlands, Gavin",Home Office,1
"Newlands, Gavin",House of Commons Commission,2
"Newlands, Gavin",Minister for Women and Equalities,5
"Newlands, Gavin",Ministry of Defence,8
"Newlands, Gavin",Ministry of Justice,13
"Newlands, Gavin",Northern Ireland Office,10
"Newlands, Gavin",Prime Minister,6
"Newlands, Gavin",Scotland Office,8
"Newlands, Gavin",Treasury,3
"Newlands, Gavin",Wales Office,6
"Newton, Sarah",BEIS,2
"Newton, Sarah",DHSC,5
"Newton, Sarah",DWP,2
"Newton, Sarah",FCO,2
"Newton, Sarah",MHCLG,1
"Newton, Sarah",Ministry of Justice,2
"Newton, Sarah",Prime Minister,2
"Newton, Sarah",Treasury,2
"Newton, Sarah",Wales Office,1
"Nokes, Caroline",DEFRA,1
"Nokes, Caroline",DfID,2
"Nokes, Caroline",DWP,1
"Nokes, Caroline",Ministry of Justice,1
"Norris, Alex",Attorney General,1
"Norris, Alex",BEIS,6
"Norris, Alex",Cabinet Office,4
"Norris, Alex",DCLG,2
"Norris, Alex",DDCMS,5
"Norris, Alex",DEFRA,2
"Norris, Alex",Department for Transport,8
"Norris, Alex",DeXEU,6
"Norris, Alex",DfE,7
"Norris, Alex",DfID,4
"Norris, Alex",DWP,4
"Norris, Alex",FCO,8
"Norris, Alex",Home Office,4
"Norris, Alex",MHCLG,2
"Norris, Alex",Minister for Women and Equalities,2
"Norris, Alex",Ministry of Defence,8
"Norris, Alex",Ministry of Justice,22
"Norris, Alex",Prime Minister,10
"Norris, Alex",Scotland Office,2
"Norris, Alex",Treasury,6
"Norris, Alex",Wales Office,2
"O'Brien, Neil",Attorney General,3
"O'Brien, Neil",Cabinet Office,2
"O'Brien, Neil",Department for Transport,6
"O'Brien, Neil",DeXEU,2
"O'Brien, Neil",DfE,9
"O'Brien, Neil",DHSC,2
"O'Brien, Neil",DIT,2
"O'Brien, Neil",Home Office,2
"O'Brien, Neil",MHCLG,2
"O'Brien, Neil",Minister for Women and Equalities,1
"O'Brien, Neil",Ministry of Justice,5
"O'Brien, Neil",Northern Ireland Office,2
"O'Brien, Neil",Prime Minister,10
"O'Brien, Neil",Treasury,9
"Offord, Matthew",Cabinet Office,2
"Offord, Matthew",Church Commissioners,2
"Offord, Matthew",DfE,2
"Offord, Matthew",DHSC,1
"Offord, Matthew",MHCLG,2
"Offord, Matthew",Ministry of Justice,4
"Offord, Matthew",Treasury,2
"O'Hara, Brendan",BEIS,2
"O'Hara, Brendan",DCMS,1
"O'Hara, Brendan",DDCMS,7
"O'Hara, Brendan",DEFRA,1
"O'Hara, Brendan",DeXEU,4
"O'Hara, Brendan",DHSC,1
"O'Hara, Brendan",DWP,4
"O'Hara, Brendan",FCO,7
"O'Hara, Brendan",House of Commons Commission,4
"O'Hara, Brendan",Ministry of Justice,6
"O'Hara, Brendan",Northern Ireland Office,1
"O'Hara, Brendan",Prime Minister,2
"O'Hara, Brendan",Scotland Office,6
"Onasanya, Fiona",BEIS,1
"Onasanya, Fiona",DCLG,1
"Onasanya, Fiona",Department for Transport,3
"Onasanya, Fiona",DfE,2
"Onasanya, Fiona",MHCLG,3
"Onasanya, Fiona",Minister for Women and Equalities,2
"Onasanya, Fiona",Ministry of Defence,2
"Onasanya, Fiona",Prime Minister,3
"Onasanya, Fiona",Treasury,3
"Onn, Melanie",Attorney General,6
"Onn, Melanie",BEIS,7
"Onn, Melanie",Church Commissioners,2
"Onn, Melanie",DCLG,2
"Onn, Melanie",DDCMS,1
"Onn, Melanie",DEFRA,6
"Onn, Melanie",Department for Transport,4
"Onn, Melanie",DeXEU,2
"Onn, Melanie",DfE,7
"Onn, Melanie",DHSC,6
"Onn, Melanie",DWP,5
"Onn, Melanie",Home Office,2
"Onn, Melanie",MHCLG,5
"Onn, Melanie",Minister for Women and Equalities,2
"Onn, Melanie",Ministry of Defence,10
"Onn, Melanie",Ministry of Justice,1
"Onn, Melanie",Prime Minister,10
"Onn, Melanie",Treasury,5
"Onwurah, Chi",Attorney General,2
"Onwurah, Chi",BEIS,12
